TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
SWOD-APSP3X,104 Sushi & Co.,10422 168 St,Surrey,Restaurant,49.19205936,-122.75625586
SDFO-88ESVK,5 Star Catering,5640 188 St,Surrey,Restaurant,49.10544931,-122.70131471
NDAA-8RNNVR,555 Pizza Ltd,9192 120 St,Surrey,Restaurant,49.17027429,-122.88998775
SYOG-5M5942,7-Eleven #26365,7986 120 St,Surrey,Restaurant,49.14818852,-122.89022109
GEDS-6KHW57,7-Eleven #26517,17638 60 Ave,Surrey,Restaurant,49.11132152,-122.73427092
GEDS-7YZN48,7-Eleven #34339,14410 108 Ave,Surrey,Restaurant,49.19859619,-122.82250724
SHEN-9SGNQT,7-Eleven #34501,6021 168 St,Surrey,Restaurant,49.11179111,-122.75690367
SDFO-8AULF9,7-Eleven #34633,15961 Fraser Hwy,Surrey,Restaurant,49.15789394,-122.77936635
SDFO-8L8SZK,7-Eleven #34907,13993 Fraser Hwy,Surrey,Restaurant,49.1792836,-122.83482486
ACAK-8XKMAF,7-Eleven #35770,6828 128 St,Surrey,Restaurant,49.12696263,-122.86753123
NDAA-9L2T78,7-Eleven #36022H,19188 72 Ave,Surrey,Restaurant,49.13346587,-122.69157627
HPAR-AE2S2K,7-Eleven #37876H,7195 King George Blvd,Surrey,Restaurant,49.13306413,-122.84596074
SPLH-ASNP2T,7-Eleven #38206,19161 Fraser Hwy,Surrey,Restaurant,49.11961383,-122.69181652
SHEN-A2CTME,7-Eleven (Canada Store #37206H),9989 152 St,Surrey,Restaurant,49.18393107,-122.80124717
HPAR-AFGRCA,7-Eleven (Canada Store #37865H),14445 64 Ave,Surrey,Restaurant,49.11930582,-122.82268473
HPAR-AFGPRP,7-Eleven (Canada Store #37866H),10376 152 St,Surrey,Restaurant,49.19106581,-122.80052367
NDAA-99WMTF,7-Eleven Canada Store #36676,9583 132 St,Surrey,Restaurant,49.17681933,-122.85715142
HPAR-AE2Q87,7-Eleven Store # 37868,6422 120 St,Surrey,Restaurant,49.11967428,-122.88996212
SWOD-AQAKLU,7-ElevenStore and Gas Bar (Canada Store #37875H),10416 King George Blvd,Surrey,Restaurant,49.19204825,-122.84506736
A016730    ,North Surrey Secondary School Cafeteria,15945 96 Ave,Surrey,Restaurant,49.17706626,-122.78033999
A018238    ,Northview Golf & Country Club (Canal Kiosk),6857 168 St,Surrey,Restaurant,49.12596694,-122.75822609
A018273    ,Northview Golf & Country Club (Kitchen/Duffey's Sports Grill),6857 168 St,Surrey,Restaurant,49.12596694,-122.75822609
A018235    ,Northview Golf & Country Club (Palmer Dining Room),6857 168 St,Surrey,Restaurant,49.12596694,-122.75822609
A018365    ,Northview Golf & Country Club (Ridge Kiosk),6857 168 St,Surrey,Restaurant,49.12596694,-122.75822609
